1w8l,0.49
1wkm,0.82
2a31,1.01
1f9g,1.28
1b74,1.3
1qpb,1.36
1tnk,1.49
1w8m,1.6
2hdr,1.72
1ga8,1.8
1af6,1.82
1d5r,1.82
1rdn,1.84
1tnl,1.88
1f2p,1.9
1f2o,1.91
1tnj,1.96
1jfh,2.05
1qq9,2.06
1njj,2.1
1uxb,2.15
1x8d,2.21
1icj,2.22
2aac,2.22
1ew8,2.26
1uto,2.27
1ps3,2.28
1uxa,2.3
3pcg,2.3
1m0o,2.31
1qi0,2.35
3pcb,2.4
1oba,2.44
1utl,2.47
1gyx,2.48
1ai4,2.5
1gwv,2.57
2c4v,2.6
1ajn,2.63
1o8b,2.68
1pfu,2.72
1rql,2.75
2bza,2.8
1cet,2.89
1iih,2.89
1ugp,2.89
2fkf,2.92
2fw6,2.92
2fwp,2.92
1tng,2.93
1ykp,2.96
2br6,2.96
1ecq,3.0
1hqg,3.0
1ux7,3.0
1ws4,3.0
1utm,3.01
1ws5,3.03
1uj5,3.05
1uj6,3.05
1y1z,3.08
1af2,3.1
1ec9,3.1
1pu7,3.1
1pu8,3.1
1e6q,3.15
1ro7,3.18
6tim,3.21
1br6,3.22
1e6s,3.22
1ew9,3.22
1k1y,3.22
1tog,3.22
1px4,3.23
1v2j,3.25
5yas,3.26
1pzp,3.31
1pzo,3.32
1jlr,3.33
1tnh,3.37
1v2u,3.37
2fzg,3.38
1bxr,3.4
1ikt,3.4
1jt1,3.4
1m83,3.4
1uz4,3.4
220l,3.4
2sim,3.42
1moq,3.46
1c5o,3.49
1gzc,3.49
1utn,3.49
1imx,3.52
1vjd,3.54
1v2r,3.55
2qwc,3.55
1h46,3.57
1vjc,3.58
1nli,3.59
2gsu,3.59
1d7i,3.6
2fzk,3.6
3jdw,3.6
3pcc,3.62
1gyy,3.64
2azr,3.64
3pcn,3.66
1c3x,3.68
1qsc,3.68
2a8g,3.69
1fwu,3.7
1gz3,3.7
1gz4,3.7
1pdz,3.7
1wht,3.7
2bjm,3.7
2bmz,3.7
2fx6,3.7
1fwv,3.72
1grp,3.72
2am4,3.72
2hb1,3.8
